ID,price,bathrooms,bedrooms,square_feet,latitude,longitude,category,has_photo,state
2,925,1.0,0,116,47.616,-122.3275,housing/rent/apartment,Thumbnail,WA
3,2475,1.0,0,130,40.7629,-73.9885,housing/rent/apartment,Thumbnail,NY
5,1695,1.0,0,190,37.7599,-122.4379,housing/rent/apartment,Thumbnail,CA
6,1560,1.0,1,200,35.0847,-77.0609,housing/rent/apartment,Thumbnail,NC
7,1560,1.0,1,200,35.096,-77.0272,housing/rent/apartment,Thumbnail,NC
8,1000,1.0,1,200,30.0871,-95.4685,housing/rent/apartment,Thumbnail,TX
10,625,1.0,1,200,33.9649,-84.5107,housing/rent/apartment,Thumbnail,GA
12,544,1.0,1,200,30.4601,-84.2714,housing/rent/apartment,Thumbnail,FL
14,750,1.0,1,215,27.8492,-82.3155,housing/rent/apartment,Thumbnail,FL
16,1400,1.0,1,219,37.7599,-122.4379,housing/rent/apartment,Thumbnail,CA
17,1095,1.0,1,219,39.1634,-76.6165,housing/rent/apartment,Thumbnail,MD
19,900,1.0,1,219,38.621,-76.9225,housing/rent/apartment,Thumbnail,MD
21,725,1.0,1,219,39.6828,-104.8078,housing/rent/apartment,Thumbnail,CO
22,650,1.0,1,219,38.7418,-77.4684,housing/rent/apartment,Thumbnail,VA
23,650,1.0,1,219,33.7416,-84.2614,housing/rent/apartment,Thumbnail,GA
25,595,1.0,1,219,35.1038,-106.611,housing/rent/apartment,Thumbnail,NM
26,1195,1.0,0,223,47.616,-122.3275,housing/rent/apartment,Thumbnail,WA
27,1150,1.0,0,225,47.616,-122.3275,housing/rent/apartment,Thumbnail,WA
28,942,1.0,1,225,41.8625,-87.6825,housing/rent/apartment,Thumbnail,IL
29,1250,1.0,0,228,47.616,-122.3275,housing/rent/apartment,Thumbnail,WA
33,1095,1.0,0,231,47.616,-122.3275,housing/rent/apartment,Thumbnail,WA
35,775,1.0,1,240,48.7871,-122.4437,housing/rent/apartment,Thumbnail,WA
36,1299,1.0,0,243,47.616,-122.3275,housing/rent/apartment,Thumbnail,WA
39,1600,1.0,1,250,33.9855,-118.4532,housing/rent/apartment,Thumbnail,CA
41,1330,1.0,1,250,34.145,-118.3898,housing/rent/apartment,Thumbnail,CA
42,1310,1.0,1,250,34.2805,-118.8861,housing/rent/apartment,Thumbnail,CA
43,1300,1.0,1,250,33.8363,-118.333,housing/rent/apartment,Thumbnail,CA
44,1295,1.0,1,250,38.5587,-121.432,housing/rent/apartment,Thumbnail,CA
45,1255,1.0,1,250,34.2017,-118.492,housing/rent/apartment,Thumbnail,CA
49,1200,1.0,1,250,39.6828,-104.8078,housing/rent/apartment,Thumbnail,CO
50,1175,1.0,1,250,37.9353,-121.6935,housing/rent/apartment,Thumbnail,CA
52,1150,1.0,1,250,39.1088,-77.2384,housing/rent/apartment,Thumbnail,MD
53,1145,1.0,1,250,42.6484,-71.1615,housing/rent/apartment,Thumbnail,MA
54,1135,1.0,1,250,37.7904,-122.2151,housing/rent/apartment,Thumbnail,CA
55,1115,1.0,1,250,37.9724,-122.3304,housing/rent/apartment,Thumbnail,CA
56,1095,1.0,0,250,41.8625,-87.6825,housing/rent/apartment,Thumbnail,IL
57,1090,1.0,1,250,38.7999,-77.1072,housing/rent/apartment,Thumbnail,VA
58,1075,1.0,1,250,41.8625,-87.6825,housing/rent/apartment,Thumbnail,IL
61,1045,1.0,1,250,38.786,-77.2858,housing/rent/apartment,Thumbnail,VA
62,1025,1.0,1,250,47.5988,-122.1507,housing/rent/apartment,Thumbnail,WA
63,1005,1.0,1,250,38.3918,-121.2234,housing/rent/apartment,Thumbnail,CA
64,1000,1.0,1,250,34.1677,-118.6141,housing/rent/apartment,Thumbnail,CA
65,1000,1.0,1,250,25.7603,-80.3005,housing/rent/apartment,Thumbnail,FL
67,1000,1.0,1,250,39.8644,-105.0454,housing/rent/apartment,Thumbnail,CO
68,1000,1.0,1,250,39.6828,-104.8078,housing/rent/apartment,Thumbnail,CO
69,1000,1.0,1,250,39.8228,-105.1107,housing/rent/apartment,Thumbnail,CO
70,1000,1.0,1,250,33.7606,-118.0806,housing/rent/apartment,Thumbnail,CA
71,975,1.0,1,250,33.1463,-117.1694,housing/rent/apartment,Thumbnail,CA
72,965,1.0,1,250,39.8587,-74.8101,housing/rent/apartment,Thumbnail,NJ
73,955,1.0,1,250,39.1634,-76.6165,housing/rent/apartment,Thumbnail,MD
75,950,1.0,1,250,39.6828,-104.8078,housing/rent/apartment,Thumbnail,CO
76,930,1.0,1,250,37.9682,-122.0091,housing/rent/apartment,Thumbnail,CA
78,925,1.0,1,250,32.6197,-117.0226,housing/rent/apartment,Thumbnail,CA
79,925,1.0,1,250,39.1634,-76.6165,housing/rent/apartment,Thumbnail,MD
80,915,1.0,1,250,39.5516,-104.969,housing/rent/apartment,Thumbnail,CO
83,900,1.0,1,250,40.0213,-105.2552,housing/rent/apartment,Thumbnail,CO
84,900,1.0,1,250,39.6828,-104.8078,housing/rent/apartment,Thumbnail,CO
85,900,1.0,1,250,34.0291,-117.9457,housing/rent/apartment,Thumbnail,CA
86,900,1.0,1,250,33.8323,-117.9079,housing/rent/apartment,Thumbnail,CA
87,895,1.0,1,250,39.8312,-104.8942,housing/rent/apartment,Thumbnail,CO
90,865,1.0,1,250,26.1806,-81.7257,housing/rent/apartment,Thumbnail,FL
91,865,1.0,1,250,33.7848,-84.3922,housing/rent/apartment,Thumbnail,GA
92,860,1.0,1,250,27.3181,-82.4987,housing/rent/apartment,Thumbnail,FL
95,850,1.0,1,250,40.0994,-104.8079,housing/rent/apartment,Thumbnail,CO
98,850,1.0,1,250,27.7873,-82.6772,housing/rent/apartment,Thumbnail,FL
99,850,1.0,1,250,45.5091,-122.6449,housing/rent/apartment,Thumbnail,OR
101,805,1.0,1,250,33.7848,-84.3922,housing/rent/apartment,Thumbnail,GA
105,800,1.0,1,250,28.905,-81.2156,housing/rent/apartment,Thumbnail,FL
106,800,1.0,1,250,38.1255,-121.2878,housing/rent/apartment,Thumbnail,CA
110,785,1.0,1,250,40.5649,-105.0824,housing/rent/apartment,Thumbnail,CO
111,760,1.0,1,250,40.4067,-105.0984,housing/rent/apartment,Thumbnail,CO
113,755,1.0,1,250,39.6103,-75.6896,housing/rent/apartment,Thumbnail,DE
114,755,1.0,1,250,40.2776,-76.7088,housing/rent/apartment,Thumbnail,PA
115,750,1.0,1,250,33.945,-117.4074,housing/rent/apartment,Thumbnail,CA
116,750,1.0,1,250,27.2897,-80.3421,housing/rent/apartment,Thumbnail,FL
117,750,1.0,1,250,39.1774,-77.2569,housing/rent/apartment,Thumbnail,MD
118,750,1.0,1,250,35.2016,-80.8124,housing/rent/apartment,Thumbnail,NC
121,720,1.0,1,250,29.4782,-98.2759,housing/rent/apartment,Thumbnail,TX
122,705,1.0,1,250,29.7714,-95.4343,housing/rent/apartment,Thumbnail,TX
123,700,1.0,1,250,33.4234,-111.5415,housing/rent/apartment,Thumbnail,AZ
124,700,1.0,1,250,30.3054,-97.7497,housing/rent/apartment,Thumbnail,TX
125,700,1.0,1,250,39.9156,-105.0876,housing/rent/apartment,Thumbnail,CO
126,700,1.0,1,250,33.5783,-111.8902,housing/rent/apartment,Thumbnail,AZ
127,700,1.0,1,250,28.5163,-81.3644,housing/rent/apartment,Thumbnail,FL
128,700,1.0,1,250,39.3191,-76.6126,housing/rent/apartment,Thumbnail,MD
129,700,1.0,1,250,39.6041,-104.8594,housing/rent/apartment,Thumbnail,CO
130,700,1.0,1,250,39.6894,-105.1119,housing/rent/apartment,Thumbnail,CO
131,700,1.0,1,250,30.0066,-97.8071,housing/rent/apartment,Thumbnail,TX
134,685,1.0,1,250,34.0505,-81.0098,housing/rent/apartment,Thumbnail,SC
135,685,1.0,1,250,33.5178,-112.0848,housing/rent/apartment,Thumbnail,AZ
137,675,1.0,1,250,45.1748,-93.3109,housing/rent/apartment,Thumbnail,MN
138,660,1.0,1,250,33.5178,-112.0848,housing/rent/apartment,Thumbnail,AZ
139,650,1.0,1,250,39.3191,-76.6126,housing/rent/apartment,Thumbnail,MD
140,650,1.0,1,250,44.9545,-123.0072,housing/rent/apartment,Thumbnail,OR
141,650,1.0,1,250,29.4832,-82.8641,housing/rent/apartment,Thumbnail,FL
142,650,1.0,1,250,29.4624,-98.5253,housing/rent/apartment,Thumbnail,TX
143,650,1.0,1,250,36.0402,-86.6385,housing/rent/apartment,Thumbnail,TN
144,645,1.0,1,250,33.6285,-78.9873,housing/rent/apartment,Thumbnail,SC
146,625,1.0,1,250,27.0717,-82.3833,housing/rent/apartment,Thumbnail,FL
147,610,1.0,1,250,33.5178,-112.0848,housing/rent/apartment,Thumbnail,AZ
148,600,1.0,1,250,28.473,-82.5474,housing/rent/apartment,Thumbnail,FL
149,600,1.0,1,250,32.2264,-110.9438,housing/rent/apartment,Thumbnail,AZ
151,600,1.0,1,250,36.9873,-122.016,housing/rent/apartment,Thumbnail,CA
152,600,1.0,1,250,28.0076,-82.4792,housing/rent/apartment,Thumbnail,FL
153,600,1.0,1,250,47.1165,-88.5631,housing/rent/apartment,Thumbnail,MI
154,600,1.0,1,250,35.823,-78.6438,housing/rent/apartment,Thumbnail,NC
155,595,1.0,1,250,37.6465,-78.2899,housing/rent/apartment,Thumbnail,VA
156,580,1.0,1,250,27.6361,-80.4261,housing/rent/apartment,Thumbnail,FL
157,575,1.0,1,250,39.9849,-75.8127,housing/rent/apartment,Thumbnail,PA
159,550,1.0,1,250,39.2019,-76.951,housing/rent/apartment,Thumbnail,MD
160,550,1.0,1,250,38.7701,-77.2263,housing/rent/apartment,Thumbnail,VA
161,500,1.0,1,250,33.8829,-78.6369,housing/rent/apartment,Thumbnail,SC
162,500,1.0,1,250,29.5056,-94.9889,housing/rent/apartment,Thumbnail,TX
163,500,1.0,1,250,34.8856,-112.4675,housing/rent/apartment,Thumbnail,AZ
164,499,1.0,1,250,38.2006,-84.9469,housing/rent/apartment,Thumbnail,KY
165,495,1.0,1,250,33.5178,-112.0848,housing/rent/apartment,Thumbnail,AZ
166,200,1.0,1,250,39.3903,-77.1487,housing/rent/apartment,Thumbnail,MD
167,1325,1.0,0,253,47.616,-122.3275,housing/rent/apartment,Thumbnail,WA
168,1400,1.0,0,255,47.7046,-122.1989,housing/rent/apartment,Thumbnail,WA
171,1659,1.0,1,272,38.9118,-77.0132,housing/rent/apartment,Thumbnail,DC
172,1600,1.0,1,272,37.7078,-122.1435,housing/rent/apartment,Thumbnail,CA
174,1900,1.0,0,275,33.6019,-117.8637,housing/rent/apartment,Thumbnail,CA
175,1505,1.0,1,275,34.0372,-118.2972,housing/rent/apartment,Thumbnail,CA
176,900,1.0,1,275,33.3423,-111.7755,housing/rent/apartment,Thumbnail,AZ
177,892,1.0,0,275,41.8625,-87.6825,housing/rent/apartment,Thumbnail,IL
179,1240,1.0,1,280,38.8077,-76.9886,housing/rent/apartment,Thumbnail,MD
180,870,1.0,1,285,61.1723,-149.8414,housing/rent/apartment,Thumbnail,AK
182,1350,1.0,0,288,47.616,-122.3275,housing/rent/apartment,Thumbnail,WA
183,865,1.0,1,288,40.3911,-80.1989,housing/rent/apartment,Yes,PA
184,690,1.0,1,288,28.0076,-82.4792,housing/rent/apartment,Thumbnail,FL
185,1099,1.0,0,290,45.5091,-122.6449,housing/rent/apartment,Thumbnail,OR
187,850,1.0,0,296,41.6595,-91.535,housing/rent/apartment,Thumbnail,IA
188,2200,1.0,0,300,37.4356,-122.134,housing/rent/apartment,Thumbnail,CA
189,2112,1.0,1,300,41.0591,-74.1452,housing/rent/apartment,Yes,NJ
